agency,speno,species,deploy_year,sex,age,location,region,permit,publications,adfg identifier,latitude,longitude
PEP,PL2007_6042,Spotted seal,2007,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
PEP,PL2007_6055,Spotted seal,2007,F,SUBADULT,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
PEP,PL2007_6061,Spotted seal,2007,M,SUBADULT,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
PEP,PL2007_6064,Spotted seal,2007,F,SUBADULT,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
PEP,PL2007_6078,Spotted seal,2007,M,SUBADULT,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
PEP,PL2007_6081,Spotted seal,2007,F,ADULT,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
PEP,PL2007_6091,Spotted seal,2007,M,ADULT,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
PEP,PL2007_6097,Spotted seal,2007,M,ADULT,Bering Sea,Central Bering Sea,782-1676,NA,NA,NA,NA
PEP,PL2009_1001,Spotted seal,2009,F,ADULT,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_1002,Spotted seal,2009,F,SUBADULT,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_1003,Spotted seal,2009,F,SUBADULT,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_1011,Spotted seal,2009,M,SUBADULT,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_1020,Spotted seal,2009,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_1025,Spotted seal,2009,M,SUBADULT,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2001,Spotted seal,2009,M,ADULT,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2002,Spotted seal,2009,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2003,Spotted seal,2009,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2004,Spotted seal,2009,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2005,Spotted seal,2009,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2006,Spotted seal,2009,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2010,Spotted seal,2009,F,ADULT,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2011,Spotted seal,2009,F,ADULT,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2014,Spotted seal,2009,F,SUBADULT,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2016,Spotted seal,2009,M,SUBADULT,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2019,Spotted seal,2009,M,SUBADULT,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2020,Spotted seal,2009,M,SUBADULT,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2032,Spotted seal,2009,M,ADULT,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2033,Spotted seal,2009,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2034,Spotted seal,2009,F,SUBADULT,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2038,Spotted seal,2009,F,SUBADULT,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2009_2039,Spotted seal,2009,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2010_1002,Spotted seal,2010,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2010_1003,Spotted seal,2010,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2010_1018,Spotted seal,2010,M,ADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,PL2010_2002,Spotted seal,2010,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2010_2004,Spotted seal,2010,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,PL2010_2005,Spotted seal,2010,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,PL2010_2020,Spotted seal,2010,F,ADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,PL2010_2021,Spotted seal,2010,M,SUBADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,PL2014_1017,Spotted seal,2014,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,PL2014_1019,Spotted seal,2014,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,PL2014_1020,Spotted seal,2014,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,PL2014_1027,Spotted seal,2014,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,PL2014_1028,Spotted seal,2014,F,ADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,PL2016_1001,Spotted seal,2016,M,ADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
PEP,PL2016_1003,Spotted seal,2016,M,ADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
PEP,PL2016_1004,Spotted seal,2016,F,ADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
PEP,PL2016_1007,Spotted seal,2016,F,ADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
PEP,PL2016_1016,Spotted seal,2016,F,ADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
PEP,PL2016_1021,Spotted seal,2016,F,ADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
PEP,PL2018_1002,Spotted seal,2018,F,ADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
PEP,PL2018_1009,Spotted seal,2018,F,ADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
PEP,PL2018_1016,Spotted seal,2018,F,ADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
PEP,PL2018_1022,Spotted seal,2018,F,ADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
PEP,PL2018_1027,Spotted seal,2018,F,ADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
