agency,speno,species,deploy_year,sex,age,location,region,permit,publications,adfg identifier,latitude,longitude
ADFG,PL18BRW-169951,Spotted seal,2018,F,SUBADULT,"Dease Inlet, Utqiagvik",North Slope,20466,Von Duyke et al in prep,NA,71.0308328,-155.7062838
ADFG,PL18SCM-158427,Spotted seal,2018,M,SUBADULT,Scammon Bay,Norton Sound,20466,Von Duyke et al in prep,NA,61.8875289,-165.7967423
ADFG,PL2019_9001,Spotted seal,2019,M,ADULT,"Dease Inlet, Utqiagvik",North Slope,20466,Von Duyke et al in prep,PL19BRW-120351,71.0308328,-155.7062838
ADFG,PL2019_9002,Spotted seal,2019,M,SUBADULT,"Dease Inlet, Utqiagvik",North Slope,20466,Von Duyke et al in prep,PL19BRW-163027,71.0308328,-155.7062838
ADFG,PL2019_9003,Spotted seal,2019,M,ADULT,"Dease Inlet, Utqiagvik",North Slope,20466,Von Duyke et al in prep,PL19BRW-163023,71.0308328,-155.7062838
ADFG,PL2019_9004,Spotted seal,2019,M,ADULT,"Dease Inlet, Utqiagvik",North Slope,20466,Von Duyke et al in prep,PL19BRW-163047,71.0308328,-155.7062838
ADFG,PL2019_9005,Spotted seal,2019,M,ADULT,"Dease Inlet, Utqiagvik",North Slope,20466,Von Duyke et al in prep,PL19BRW-158425,71.0308328,-155.7062838
ADFG,PL2019_9006,Spotted seal,2019,M,ADULT,"Dease Inlet, Utqiagvik",North Slope,20466,Von Duyke et al in prep,PL19BRW-158420,71.0308328,-155.7062838
NPWC,PL2009_9024,Spotted seal,2009,F,ADULT,Kamchatka Peninsula,Western Bering Sea,NA,NA,NA,51.336944,157.404444
NPWC,PL2009_9026,Spotted seal,2009,F,ADULT,Kamchatka Peninsula,Western Bering Sea,NA,NA,NA,51.336944,157.404444
NPWC,PL2009_9027,Spotted seal,2009,F,ADULT,Kamchatka Peninsula,Western Bering Sea,NA,NA,NA,51.336944,157.404444
NSB,EB2012BW01,Bearded seal,2012,M,SUBADULT,"Elson Lagoon, Utqiagvik",North Slope,15324,NA,NA,71.2553619,-155.9697033
NSB,PL2012Ti01,Spotted seal,2012,F,ADULT,Tiny Island,North Slope,15324,Von Duyke et al in prep,NA,70.8853797,-155.7873773
NSB,PL2014Oi02,Spotted seal,2014,M,SUBADULT,Seal Island,North Slope,15324,Von Duyke et al in prep,NA,70.912,-155.638
NSB,PL2014Oi03,Spotted seal,2014,M,SUBADULT,Oarlock Island,North Slope,15324,Von Duyke et al in prep,NA,70.9423369,-155.6701313
NSB,PL2014Oi04,Spotted seal,2014,M,SUBADULT,Oarlock Island,North Slope,15324,Von Duyke et al in prep,NA,70.9423369,-155.6701313
NSB,PL2014Oi06,Spotted seal,2014,M,ADULT,Oarlock Island,North Slope,15324,Von Duyke et al in prep,NA,70.9423369,-155.6701313
NSB,PL2014Oi07,Spotted seal,2014,F,SUBADULT,Oarlock Island,North Slope,15324,Von Duyke et al in prep,NA,70.9423369,-155.6701313
NSB,PL2014Oi09,Spotted seal,2014,F,SUBADULT,Oarlock Island,North Slope,15324,Von Duyke et al in prep,NA,70.9423369,-155.6701313
NSB,PL2014Oi10,Spotted seal,2014,M,ADULT,Oarlock Island,North Slope,15324,Von Duyke et al in prep,NA,70.9423369,-155.6701313
NSB,PL2015Oi02,Spotted seal,2015,M,SUBADULT,Oarlock Island,North Slope,15324,Von Duyke et al in prep,NA,70.9423369,-155.6701313
NSB,PL2015Oi03,Spotted seal,2015,F,SUBADULT,Oarlock Island,North Slope,15324,Von Duyke et al in prep,NA,70.9423369,-155.6701313
NSB,PL2015Oi04,Spotted seal,2015,F,ADULT,Oarlock Island,North Slope,15324,Von Duyke et al in prep,NA,70.9423369,-155.6701313
NSB,PL2015Oi05,Spotted seal,2015,M,SUBADULT,Oarlock Island,North Slope,15324,Von Duyke et al in prep,NA,70.9423369,-155.6701313
NSB,PL2015Oi08,Spotted seal,2015,M,SUBADULT,Oarlock Island,North Slope,15324,Von Duyke et al in prep,NA,70.9423369,-155.6701313
NSB,PL2015Oi09,Spotted seal,2015,M,SUBADULT,Oarlock Island,North Slope,15324,Von Duyke et al in prep,NA,70.9423369,-155.6701313
NSB,PL2016Oi04,Spotted seal,2016,F,SUBADULT,Pittalugruaq Lake,North Slope,15324,Von Duyke et al in prep,NA,70.829868,-155.36022
NSB,PL2016PL05,Spotted seal,2016,F,SUBADULT,Pittalugruaq Lake,North Slope,15324,Von Duyke et al in prep,NA,70.829868,-155.36022
NSB,PL2016PL07,Spotted seal,2016,F,SUBADULT,Pittalugruaq Lake,North Slope,15324,Von Duyke et al in prep,NA,70.829868,-155.36022
NSB,PL17BRW-171323,Spotted seal,2017,M,SUBADULT,Pittalugruaq Lake,North Slope,15324,Von Duyke et al in prep,NA,70.829868,-155.36022
NSB,EB2019BW02,Bearded seal,2019,F,SUBADULT,Pittalugruaq Lake,North Slope,20466,NA,NA,70.829868,-155.36022
PEP,EB2005_5996,Bearded seal,2005,F,SUBADULT,Kotzebue Sound,Kotzebue Sound,358-1585,NA,NA,66.5461107,-163.3009923
PEP,EB2009_3000,Bearded seal,2009,M,SUBADULT,Kotzebue Sound,Kotzebue Sound,782-1765,McClintock et al 2017,NA,66.5461107,-163.3009923
PEP,EB2009_3001,Bearded seal,2009,M,ADULT,Kotzebue Sound,Kotzebue Sound,782-1765,McClintock et al 2017,NA,66.5461107,-163.3009923
PEP,EB2011_3000,Bearded seal,2011,F,SUBADULT,Kotzebue Sound,Kotzebue Sound,15126,McClintock et al 2017,NA,66.5461107,-163.3009923
PEP,EB2011_3001,Bearded seal,2011,F,SUBADULT,Kotzebue Sound,Kotzebue Sound,15126,McClintock et al 2017,NA,66.5461107,-163.3009923
PEP,EB2011_3002,Bearded seal,2011,M,SUBADULT,Kotzebue Sound,Kotzebue Sound,15126,McClintock et al 2017,NA,66.5461107,-163.3009923
PEP,EB2012_3003,Bearded seal,2012,F,ADULT,Kotzebue Sound,Kotzebue Sound,15126,McClintock et al 2017,NA,66.5461107,-163.3009923
PEP,HF2005_5880,Ribbon seal,2005,F,YOUNG OF YEAR,"Ozemoy Gulf, Russia",Western Bering Sea,782-1765,NA,NA,57.2701,163.42997
PEP,HF2005_5882,Ribbon seal,2005,M,YOUNG OF YEAR,"Ozemoy Gulf, Russia",Western Bering Sea,782-1765,NA,NA,57.20619,163.34392
PEP,HF2005_5884,Ribbon seal,2005,F,ADULT,"Ozemoy Gulf, Russia",Western Bering Sea,782-1765,NA,NA,57.22886,163.44907
PEP,HF2005_5888,Ribbon seal,2005,F,YOUNG OF YEAR,"Ozemoy Gulf, Russia",Western Bering Sea,782-1765,NA,NA,57.264953,163.45768
PEP,HF2005_5890,Ribbon seal,2005,F,YOUNG OF YEAR,"Ozemoy Gulf, Russia",Western Bering Sea,782-1765,NA,NA,57.25012,163.46227
PEP,HF2005_5892,Ribbon seal,2005,F,ADULT,"Ozemoy Gulf, Russia",Western Bering Sea,782-1765,NA,NA,57.1891,163.34473
PEP,HF2005_5894,Ribbon seal,2005,M,ADULT,"Ozemoy Gulf, Russia",Western Bering Sea,782-1765,NA,NA,57.07857,163.28578
PEP,HF2005_5896,Ribbon seal,2005,M,ADULT,"Ozemoy Gulf, Russia",Western Bering Sea,782-1765,NA,NA,57.0828,163.26415
PEP,HF2005_5898,Ribbon seal,2005,M,SUBADULT,"Ozemoy Gulf, Russia",Western Bering Sea,782-1765,NA,NA,57.29801,163.0422
PEP,HF2006_5975,Ribbon seal,2006,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2006_5978,Ribbon seal,2006,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2006_5980,Ribbon seal,2006,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2006_5981,Ribbon seal,2006,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2006_5982,Ribbon seal,2006,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2006_5988,Ribbon seal,2006,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2006_5989,Ribbon seal,2006,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6039,Ribbon seal,2007,M,SUBADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6044,Ribbon seal,2007,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6047,Ribbon seal,2007,M,SUBADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6048,Ribbon seal,2007,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6049,Ribbon seal,2007,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6050,Ribbon seal,2007,F,SUBADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6051,Ribbon seal,2007,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6056,Ribbon seal,2007,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6065,Ribbon seal,2007,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6066,Ribbon seal,2007,M,SUBADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6067,Ribbon seal,2007,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6068,Ribbon seal,2007,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6069,Ribbon seal,2007,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6070,Ribbon seal,2007,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6071,Ribbon seal,2007,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6073,Ribbon seal,2007,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6075,Ribbon seal,2007,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6082,Ribbon seal,2007,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6085,Ribbon seal,2007,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6089,Ribbon seal,2007,F,SUBADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6090,Ribbon seal,2007,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6099,Ribbon seal,2007,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6100,Ribbon seal,2007,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6101,Ribbon seal,2007,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6102,Ribbon seal,2007,M,SUBADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6103,Ribbon seal,2007,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6109,Ribbon seal,2007,M,SUBADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2007_6110,Ribbon seal,2007,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2008_1001,Ribbon seal,2008,M,SUBADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_1009,Ribbon seal,2009,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_1015,Ribbon seal,2009,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_1016,Ribbon seal,2009,F,SUBADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_1017,Ribbon seal,2009,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_1018,Ribbon seal,2009,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_1019,Ribbon seal,2009,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_1021,Ribbon seal,2009,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_1023,Ribbon seal,2009,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_1024,Ribbon seal,2009,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_1026,Ribbon seal,2009,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2009,Ribbon seal,2009,M,SUBADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2012,Ribbon seal,2009,F,SUBADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2017,Ribbon seal,2009,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2018,Ribbon seal,2009,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2021,Ribbon seal,2009,F,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2022,Ribbon seal,2009,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1765,NA,NA,60.963,-173.447
PEP,HF2009_2023,Ribbon seal,2009,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2024,Ribbon seal,2009,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2025,Ribbon seal,2009,M,SUBADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2027,Ribbon seal,2009,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2028,Ribbon seal,2009,M,SUBADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2029,Ribbon seal,2009,M,SUBADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2030,Ribbon seal,2009,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2031,Ribbon seal,2009,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2035,Ribbon seal,2009,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2037,Ribbon seal,2009,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2040,Ribbon seal,2009,M,ADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2009_2041,Ribbon seal,2009,F,SUBADULT,Bering Sea,Central Bering Sea,782-1765,NA,NA,NA,NA
PEP,HF2010_1001,Ribbon seal,2010,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,HF2010_1007,Ribbon seal,2010,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2010_1009,Ribbon seal,2010,F,ADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2010_1010,Ribbon seal,2010,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2010_1011,Ribbon seal,2010,M,ADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2010_1012,Ribbon seal,2010,F,SUBADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2010_1017,Ribbon seal,2010,F,SUBADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2010_2000,Ribbon seal,2010,F,SUBADULT,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,HF2010_2001,Ribbon seal,2010,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,358-1787,NA,NA,NA,NA
PEP,HF2010_2006,Ribbon seal,2010,F,SUBADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2010_2007,Ribbon seal,2010,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2010_2009,Ribbon seal,2010,F,YOUNG OF YEAR,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2010_2010,Ribbon seal,2010,M,SUBADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2010_2011,Ribbon seal,2010,F,ADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2010_2015,Ribbon seal,2010,F,SUBADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2010_2022,Ribbon seal,2010,M,ADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2010_2023,Ribbon seal,2010,F,ADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2014_1001,Ribbon seal,2014,M,SUBADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2014_1003,Ribbon seal,2014,F,SUBADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2014_1005,Ribbon seal,2014,F,ADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2014_1007,Ribbon seal,2014,M,SUBADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2014_1008,Ribbon seal,2014,F,SUBADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2014_1011,Ribbon seal,2014,F,ADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2014_1013,Ribbon seal,2014,F,ADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2014_1015,Ribbon seal,2014,F,ADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2014_1018,Ribbon seal,2014,M,SUBADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2014_1022,Ribbon seal,2014,M,YOUNG OF YEAR,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2014_1023,Ribbon seal,2014,M,ADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2014_1025,Ribbon seal,2014,F,ADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2014_1026,Ribbon seal,2014,M,SUBADULT,Bering Sea,Central Bering Sea,15126,NA,NA,NA,NA
PEP,HF2016_1002,Ribbon seal,2016,M,SUBADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
PEP,HF2016_1009,Ribbon seal,2016,F,SUBADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
PEP,HF2016_1011,Ribbon seal,2016,F,ADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
PEP,HF2016_1013,Ribbon seal,2016,F,ADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
PEP,HF2016_1018,Ribbon seal,2016,M,ADULT,Bering Sea,Central Bering Sea,19309,NA,NA,NA,NA
