"DeployIDs","Ptt","TagType","HistType","GMTDate","MonthNumb","LocationQuality","Latitude","Longitude","Sum","Bin1","Bin2","Bin3","Bin4","Bin5","Bin6","Bin7","Bin8","Bin9","Bin10","Bin11","Bin12","Bin13","Bin14","Bin15","Bin16","Bin17","Bin18","Bin19","Bin20","Bin21","Bin22","Bin23","Bin24"
"EB14KKA-136707",138006.00,"Spot","Percent",42135.00,"05",,,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,20.00,10.00,40.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"EB14KKA-136707",138006.00,"Spot","Percent",42139.00,"05",,,,,3.00,3.00,3.00,30.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,20.00,3.00,0.00,0.00,0.00,3.00,20.00,100.00,100.00,100.00,100.00,100.00
"EB14KKA-136707",138006.00,"Spot","Percent",42140.00,"05",,,,,100.00,100.00,100.00,100.00,100.00,100.00,40.00,3.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,3.00,3.00,3.00,0.00,0.00,10.00,10.00,3.00,10.00
"EB14KKA-136707",138006.00,"Spot","Percent",42141.00,"05",,,,,10.00,10.00,100.00,100.00,100.00,100.00,50.00,3.00,3.00,10.00,10.00,10.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,20.00,100.00,100.00,100.00
"EB14KKA-136707",138006.00,"Spot","Percent",42156.00,"06",,,,,40.00,100.00,40.00,20.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,20.00,3.00,3.00,10.00,40.00,100.00,100.00,100.00,100.00,100.00,100.00
"EB14KKA-136707",138006.00,"Spot","Percent",42157.00,"06",,,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,40.00,10.00,10.00,10.00,20.00,100.00,100.00,10.00,10.00,30.00,100.00,100.00,100.00
"EB14KKA-136707",138006.00,"Spot","Percent",42161.00,"06",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,40.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,3.00,10.00,100.00,100.00,100.00,100.00,30.00
"EB14KKA-136707",138006.00,"Spot","Percent",42162.00,"06",,,,,30.00,30.00,100.00,100.00,100.00,20.00,100.00,10.00,10.00,10.00,40.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"EB14KKA-136707",138006.00,"Spot","Percent",42188.00,"07",,,,,0.00,3.00,0.00,3.00,0.00,0.00,3.00,20.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"EB14KKA-136707",138006.00,"Spot","Percent",42189.00,"07",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,50.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"EB14KKA-136707",138006.00,"Spot","Percent",42191.00,"07",,,,,100.00,100.00,100.00,100.00,100.00,40.00,20.00,10.00,10.00,20.00,20.00,10.00,10.00,20.00,20.00,10.00,20.00,10.00,10.00,20.00,20.00,20.00,20.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42052.00,"02",,,,,20.00,100.00,40.00,30.00,30.00,0.00,3.00,0.00,3.00,3.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00
"EB14KKA-136713",138003.00,"Spot","Percent",42056.00,"02",,,,,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00
"EB14KKA-136713",138003.00,"Spot","Percent",42065.00,"03",,,,,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
"EB14KKA-136713",138003.00,"Spot","Percent",42080.00,"03",,,,,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,30.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42082.00,"03",,,,,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42085.00,"03",,,,,100.00,100.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,20.00
"EB14KKA-136713",138003.00,"Spot","Percent",42087.00,"03",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,100.00,100.00
"EB14KKA-136713",138003.00,"Spot","Percent",42089.00,"03",,,,,0.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,3.00,40.00
