DeployID,LocationQuality,Date,Latitude,Longitude,Ptt,TagType,SerialNum
EB16SMK-158429,0,42555.14759,63.403,-162.198,158429,SPLASH,15A0575
EB16SMK-158429,1,42555.14936,63.396,-162.236,158429,SPLASH,15A0575
EB16SMK-158429,3,42555.15524,63.403,-162.203,158429,SPLASH,15A0575
EB16SMK-158429,A,42555.15625,63.403,-162.203,158429,SPLASH,15A0575
EB16SMK-158429,B,42555.1947,63.405,-162.212,158429,SPLASH,15A0575
EB16SMK-158429,B,42555.21627,63.402,-162.19,158429,SPLASH,15A0575
EB16SMK-158429,B,42555.22079,63.406,-162.189,158429,SPLASH,15A0575
EB16SMK-158429,B,42555.22726,63.402,-162.192,158429,SPLASH,15A0575
EB16SMK-158429,B,42555.26425,63.407,-162.182,158429,SPLASH,15A0575
EB16SMK-158429,B,42555.28693,63.406,-162.191,158429,SPLASH,15A0575
EB16SMK-158429,1,42555.29122,63.408,-162.169,158429,SPLASH,15A0575
EB16SMK-158429,B,42555.29273,63.407,-162.173,158429,SPLASH,15A0575
EB16SMK-158429,B,42555.33442,63.41,-162.159,158429,SPLASH,15A0575
EB16SMK-158429,B,42555.36558,63.409,-162.167,158429,SPLASH,15A0575
EB16SMK-158429,B,42555.36558,63.407,-162.163,158429,SPLASH,15A0575
EB16SMK-158429,B,42555.43469,63.409,-162.179,158429,SPLASH,15A0575
EB16SMK-158429,1,42555.46828,63.408,-162.17,158429,SPLASH,15A0575
EB16SMK-158429,B,42555.53688,63.405,-162.16,158429,SPLASH,15A0575
EB16SMK-158429,B,42555.60688,63.405,-162.155,158429,SPLASH,15A0575
EB16SMK-158429,3,42555.65038,63.4,-162.176,158429,SPLASH,15A0575
EB16SMK-158429,2,42555.65172,63.4,-162.175,158429,SPLASH,15A0575
EB16SMK-158429,2,42555.67788,63.398,-162.191,158429,SPLASH,15A0575
EB16SMK-158429,B,42556.00209,63.413,-162.139,158429,SPLASH,15A0575
EB16SMK-158429,B,42556.00209,63.366,-162.194,158429,SPLASH,15A0575
EB16SMK-158429,B,42556.02602,63.414,-162.153,158429,SPLASH,15A0575
EB16SMK-158429,B,42556.0612,63.413,-162.16,158429,SPLASH,15A0575
EB16SMK-158429,A,42556.09861,63.419,-162.16,158429,SPLASH,15A0575
EB16SMK-158429,B,42556.11277,63.42,-162.161,158429,SPLASH,15A0575
EB16SMK-158429,1,42556.12981,63.422,-162.177,158429,SPLASH,15A0575
EB16SMK-158429,3,42556.13929,63.422,-162.184,158429,SPLASH,15A0575
EB16SMK-158429,2,42556.14256,63.427,-162.178,158429,SPLASH,15A0575
EB16SMK-158429,B,42556.21149,63.429,-162.184,158429,SPLASH,15A0575
EB16SMK-158429,B,42556.21149,63.425,-162.158,158429,SPLASH,15A0575
EB16SMK-158429,B,42556.24476,63.445,-162.154,158429,SPLASH,15A0575
EB16SMK-158429,A,42556.27272,63.435,-162.139,158429,SPLASH,15A0575
EB16SMK-158429,3,42556.2751,63.426,-162.155,158429,SPLASH,15A0575
EB16SMK-158429,3,42556.27709,63.428,-162.156,158429,SPLASH,15A0575
EB16SMK-158429,B,42556.27958,63.424,-162.17,158429,SPLASH,15A0575
EB16SMK-158429,3,42556.34043,63.404,-162.18,158429,SPLASH,15A0575
EB16SMK-158429,3,42556.34772,63.408,-162.19,158429,SPLASH,15A0575
EB16SMK-158429,NA,42556.61851,,,158441,SPOT,15U2852
EB16SMK-158429,NA,42556.64858,,,158441,SPOT,15U2852
EB16SMK-158429,NA,42556.7399,,,158441,SPOT,15U2852
EB16SMK-158429,NA,42556.99176,,,158441,SPOT,15U2852
EB16SMK-158429,3,42557.01862,63.398,-162.236,158429,SPLASH,15A0575
EB16SMK-158429,NA,42557.02194,,,158441,SPOT,15U2852
EB16SMK-158429,3,42557.09067,63.398,-162.246,158429,SPLASH,15A0575
EB16SMK-158429,1,42557.11205,63.392,-162.259,158429,SPLASH,15A0575
EB16SMK-158429,B,42557.11328,63.404,-162.244,158429,SPLASH,15A0575
EB16SMK-158429,2,42557.12779,63.399,-162.237,158429,SPLASH,15A0575
EB16SMK-158429,3,42557.13083,63.408,-162.231,158429,SPLASH,15A0575
EB16SMK-158429,B,42557.16668,63.409,-162.237,158429,SPLASH,15A0575
EB16SMK-158429,B,42557.23299,63.404,-162.241,158429,SPLASH,15A0575
EB16SMK-158429,B,42557.252,63.406,-162.246,158429,SPLASH,15A0575
EB16SMK-158429,B,42557.25414,63.406,-162.245,158429,SPLASH,15A0575
EB16SMK-158429,B,42557.26593,63.407,-162.249,158429,SPLASH,15A0575
EB16SMK-158429,B,42557.2733,63.408,-162.249,158429,SPLASH,15A0575
EB16SMK-158429,3,42557.33373,63.406,-162.247,158429,SPLASH,15A0575
