DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
149452,149452,,Transmission,Mk10,1Percent,2019-10-05 00:00:00,1122.000000,3,,,,,24,,11,10,8,8,7,7,11,16,19,16,5,4,5,5,3,0,0,0,0,0,0,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-06 00:00:00,1123.000000,3,,,,,24,,10,9,8,9,10,15,20,24,25,22,23,15,5,6,5,7,7,7,8,7,8,8,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-07 00:00:00,1123.000000,4,,,,,24,,10,9,7,9,9,4,2,0,10,16,0,0,0,0,1,0,0,0,0,1,7,7,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-08 00:00:00,1123.000000,1,,,,,24,,8,8,12,10,11,11,11,14,20,22,21,25,24,19,5,4,6,6,6,7,1,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-09 00:00:00,1123.000000,2,,,,,24,,0,5,1,0,0,0,0,0,12,10,11,14,23,23,17,5,7,8,10,11,11,11,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-10 00:00:00,1124.000000,2,,,,,24,,9,10,11,11,10,6,1,3,1,2,7,5,4,1,0,1,1,3,3,4,3,3,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-12 00:00:00,1124.000000,1,,,,,24,,8,7,8,7,6,5,5,4,6,6,13,9,5,2,3,2,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-13 00:00:00,1124.000000,2,,,,,24,,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,2,1,2,6,6,6,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-14 00:00:00,1125.000000,1,,,,,24,,7,7,7,7,8,12,19,24,24,11,12,6,6,4,3,4,2,5,7,7,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-10-15 00:00:00,1125.000000,1,,,,,24,,6,4,0,0,1,3,7,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
